"Name", "Light", "Dark", "Dark Elevated"
"Text/Emphasize", "[object Object]", "[object Object]", "[object Object]"
"General/Theme/Primary", "[object Object]", "[object Object]", "[object Object]"
"General/Theme/Secondary", "[object Object]", "[object Object]", "[object Object]"
"General/Blue/Primary", "[object Object]", "[object Object]", "[object Object]"
"General/Blue/Secondary", "[object Object]", "[object Object]", "[object Object]"
"Text/Regular", "[object Object]", "[object Object]", "[object Object]"
"Text/Subtle", "[object Object]", "[object Object]", "[object Object]"
"Backgrounds/Primary", "[object Object]", "[object Object]", "[object Object]"
"Backgrounds Grouped/Primary", "[object Object]", "[object Object]", "[object Object]"
"Backgrounds Grouped/Secondary", "[object Object]", "[object Object]", "[object Object]"
"Backgrounds Grouped/Tertiary", "[object Object]", "[object Object]", "[object Object]"
"Backgrounds/Secondary", "[object Object]", "[object Object]", "[object Object]"
"Backgrounds/Tertiary", "[object Object]", "[object Object]", "[object Object]"
"Fills/Primary", "[object Object]", "[object Object]", "[object Object]"
"Fills/Secondary", "[object Object]", "[object Object]", "[object Object]"
"Line/Light", "[object Object]", "[object Object]", "[object Object]"
"Line/Regular", "[object Object]", "[object Object]", "[object Object]"
"Line/Deep", "[object Object]", "[object Object]", "[object Object]"
"Fills/Tertiary", "[object Object]", "[object Object]", "[object Object]"
"Hover", "[object Object]", "[object Object]", "[object Object]"
"Segment/Background", "[object Object]", "[object Object]", "[object Object]"
"Segment/Selected", "[object Object]", "[object Object]", "[object Object]"
"Text/Disable", "[object Object]", "[object Object]", "[object Object]"
"Text/Link", "[object Object]", "[object Object]", "[object Object]"
"General/Red/Primary", "[object Object]", "[object Object]", "[object Object]"
"General/Red/Secondary", "[object Object]", "[object Object]", "[object Object]"
"Contribution/Level 0", "#e8e8e8", "#3d3d3d", "#3d3d3d"
"Contribution/Level 1", "#cfe8d9", "#434d41", "#434d41"
"Contribution/Level 2", "#8ad9b1", "#698064", "#698064"
"Contribution/Level 3", "#53b88b", "#93bf89", "#93bf89"
"Bar Chart/Color/Green", "[object Object]", "[object Object]", "[object Object]"
"Snackbar/Fills", "[object Object]", "[object Object]", "[object Object]"
"Snackbar/Text", "[object Object]", "[object Object]", "[object Object]"
"Bar Chart/Color/Blue", "[object Object]", "[object Object]", "[object Object]"
"Bar Chart/Color/Red", "[object Object]", "[object Object]", "[object Object]"
"Bar Chart/Bar Mask/Top", "[object Object]", "[object Object]", "[object Object]"
"Bar Chart/Bar Mask/Bottom", "[object Object]", "[object Object]", "[object Object]"
"Popover/Background", "[object Object]", "[object Object]", "[object Object]"
"_temp/Label", "[object Object]", "[object Object]", "[object Object]"
"_temp/Search Field", "[object Object]", "[object Object]", "[object Object]"
"_temp/Disable Button", "[object Object]", "[object Object]", "[object Object]"
"_temp/Placeholder(->Light)", "[object Object]", "[object Object]", "[object Object]"
"_temp/Status Bar", "#000000", "#ffffff", "#ffffff"
"_temp/Stack Degrade", "[object Object]", "[object Object]", "[object Object]"
"_temp/Stack Degrade 2", "[object Object]", "[object Object]", "[object Object]"
"_temp/Card Shadow", "[object Object]", "[object Object]", "[object Object]"
"Logo Text", "[object Object]", "[object Object]", "[object Object]"
"Destructive", "[object Object]", "[object Object]", "[object Object]"
"Mask", "[object Object]", "[object Object]", "[object Object]"
"Text/Tag Header", "[object Object]", "[object Object]", "[object Object]"
"General/Gray/Primary", "[object Object]", "[object Object]", "[object Object]"
"General/Gray/Secondary", "[object Object]", "[object Object]", "[object Object]"
