"Name", "Chinese", "ChineseTraditional", "English", "Japanese"
"2_Notes_Selected", "已选中 2 条笔记", "已選中 2 條筆記", "2 Notes Selected", "2件のノートを選択中"
"2_Unread_Messages", "2 条未读消息", "2 條未讀消息", "2 Unread Messages", "未読メッセージ 2 件"
"6_Notes", "6 条笔记", "6 條筆記", "6 Notes", "6件のノート"
"8_day", "8 条/天", "8 條/天", "8/day", "8件/日"
"About_Us", "关于我们", "關於我們", "About Us", "私たちについて"
"Account_and_Password", "账号与密码", "帳號與密碼", "Account and Password", "アカウントとパスワード"
"Add_Widget", "添加小组件", "添加小組件", "Add Widget", "ウィジェットを追加"
"All_Content", "全部内容", "全部內容", "All Content", "すべてのコンテンツ"
"All_Time", "所有时间", "所有時間", "All Time", "すべての時間"
"Api_&_Plugins", "API & 插件", "API與插件", "Api & Plugins", "APIとプラグイン"
"App_Notifications", "App 通知提醒", "App 通知提醒", "App Notifications", "アプリ通知"
"Christopher_Lee", "克里斯朵夫·李维", "克里斯朵夫·李維", "Christopher Lee", "クリストファー・リー"
"Clear", "清空", "清空", "Clear", "クリア"
"Copy", "复制", "複製", "Copy", "コピー"
"Copy_All", "复制全部", "複製全部", "Copy All", "すべてコピー"
"Currently_Only_Supported_in_Mobile_App_Settings", "暂时仅支持在移动端应用中设置", "暫時僅支援在行動端應用中設定", "Currently only support setting up in mobile app.", "現在はモバイルアプリでのみ設定可能"
"Custom_Widget", "自定义小组件", "自訂小組件", "Custom Widget", "カスタムウィジェット"
"Daily_Review", "每日回顾", "每日回顧", "Daily Review", "デイリーレビュー"
"Daily_Review_Notification", "每日回顾推送", "每日回顧推送", "Daily Review Notification", "デイリーレビュー通知"
"Daily_Review_Settings", "每日回顾设置", "每日回顧設置", "Daily Review Settings", "デイリーレビュー設定"
"Daily_Update_Reminder", "每日更新提醒", "每日更新提醒", "Daily Update Reminder", "毎日更新リマインダー"
"Delete", "删除", "刪除", "Delete", "削除"
"Deleted_Note", "已删除笔记", "已刪除筆記", "Deleted Note", "削除済みノート"
"Description", "Description", "描述", "Description", "説明"
"Do_Not_Remind", "不提醒", "不提醒", "Do Not Remind", "通知しない"
"Done", "完成", "完成", "Done", "完了"
"Download_App", "下载应用", "下載應用", "Download App", "アプリをダウンロード"
"End_Time", "结束时间", "結束時間", "End Time", "終了時間"
"Feedback", "反馈建议", "意見回饋", "Feedback", "フィードバック"
"Free_Membership", "免费领会员", "免費領會員", "Free Member", "無料会員登録"
"Go_to_Settings", "前往设置", "前往設定", "Go to Settings", "設定へ移動"
"Got_It", "知道了", "知道了", "Got It", "了解しました"
"Historical_Insights", "历史洞察", "歷史洞察", "Historical Insights", "歴史的洞察"
"Language_preference_storage_export", "语言/偏好/存储/导出", "語言/偏好/存儲/導出", "Language/Preference/Storage/Export", "言語/設定/保存/エクスポート"
"Log_Out", "退出登录", "登出", "Log Out", "ログアウト"
"Membership_Benefits", "会员权益", "會員權益", "Member Benefits", "会員の権利"
"Notification_Permission_Not_Enabled", "通知权限未开启", "通知權限未開啟", "Notification Permission Not Enabled", "通知権限が有効になっていません"
"Original_Text", "原文", "原文", "Original", "原文"
"Password_Lock", "密码锁", "密碼鎖", "Password Lock", "パスワードロック"
"Preferences", "偏好设置", "偏好設置", "Preferences", "設定"
"Record_Statistics", "记录统计", "記錄統計", "Record Statistics", "記録統計"
"Review_Conditions", "回顾条件", "回顧條件", "Review Conditions", "条件を確認"
