"Name", "Mode 1"
"Amber5", "#1e1501"
"Amber10", "#281c01"
"Amber20", "#3f2203"
"Amber30", "#583304"
"Amber40", "#633d03"
"Amber50", "#6d4603"
"Amber60", "#875f03"
"Amber70", "#ac7e02"
"Amber75", "#cc9c00"
"Amber80", "#ffcd00"
"Amber90", "#ffeb8a"
"Amber95", "#fff6bd"
"Amber99", "#fffbdb"
"Black5", "#000000 0.05"
"Black10", "#000000 0.1"
"Black20", "#000000 0.2"
"Black30", "#000000 0.3"
"Black40", "#000000 0.4"
"Black50", "#000000 0.5"
"Black60", "#000000 0.6"
"Black70", "#000000 0.7"
"Black80", "#000000 0.8"
"Black90", "#000000 0.9"
"Black100", "#000000"
"Blue5", "#03153f"
"Blue10", "#041a4e"
"Blue20", "#052266"
"Blue30", "#083396"
"Blue40", "#0939aa"
"Blue50", "#0a41c2"
"Blue60", "#1659f3"
"Blue70", "#4a7ef7"
"Blue75", "#79a0fb"
"Blue80", "#c3d6fe"
"Blue90", "#e1eaff"
"Blue95", "#f0f5ff"
"Blue99", "#f5f8fe"
"Gray5", "#171717"
"Gray10", "#1e1e20"
"Gray20", "#292929"
"Gray30", "#3b3b3f"
"Gray40", "#45454a"
"Gray50", "#4f4f54"
"Gray60", "#66666d"
"Gray70", "#83838b"
"Gray75", "#a3a3a9"
"Gray80", "#cdcdd0"
"Gray90", "#eaeaeb"
"Gray95", "#f5f5f5"
"Gray99", "#f9f9f9"
"Magenta5", "#2e0533"
"Magenta10", "#37063c"
"Magenta20", "#47084e"
"Magenta30", "#690c73"
"Magenta40", "#7a0e86"
"Magenta50", "#861094"
"Magenta60", "#ae14c2"
"Magenta70", "#d839ea"
"Magenta75", "#e977f9"
"Magenta80", "#f7c2ff"
"Magenta90", "#fae3fc"
"Magenta95", "#fcf1fe"
"Magenta99", "#fdf6fe"
"Olive5", "#101c08"
"Olive10", "#122009"
"Olive20", "#192e0a"
"Olive30", "#264413"
"Olive40", "#2a4c15"
"Olive50", "#315719"
"Olive60", "#417321"
"Olive70", "#52932a"
"Olive75", "#66b734"
"Olive80", "#a8dd88"
"Olive90", "#ddf2cf"
"Olive95", "#eef8e7"
"Olive99", "#f4fbef"
"Purple5", "#191137"
"Purple10", "#1e1442"
"Purple20", "#2b1d5e"
"Purple30", "#3e2a89"
"Purple40", "#47309c"
"Purple50", "#532bca"
"Purple60", "#7041e6"
"Purple70", "#966af6"
"Purple75", "#b68fff"
"Purple80", "#d7d0f1"
"Purple90", "#ebe8f8"
"Purple95", "#f5f3fb"
"Purple99", "#f8f7fd"
"Red5", "#320b0b"
"Red10", "#3b0d0c"
"Red20", "#501211"
"Red30", "#721a18"
"Red40", "#821d1c"
"Red50", "#972220"
"Red60", "#c22c29"
"Red70", "#e7534b"
"Red75", "#f1847e"
"Red80", "#fbc9c6"
"Red90", "#fee4e2"
"Red95", "#fcf3f2"
"Red99", "#fdf7f7"
"White5", "#ffffff 0.05"
"White10", "#ffffff 0.1"
"White20", "#ffffff 0.2"
"White30", "#ffffff 0.3"
"White40", "#ffffff 0.4"
"White50", "#ffffff 0.5"
"White60", "#ffffff 0.6"
"White70", "#ffffff 0.7"
"White80", "#ffffff 0.8"
"White90", "#ffffff 0.9"
"White100", "#ffffff"
